Epoch: 47, time: 1.756, Train Loss: 6.864e-04,Vali Loss: 6.122e-04, Train l2: 0.1231, Vali l2: 0.1075
Epoch: 48, time: 1.755, Train Loss: 6.406e-04,Vali Loss: 6.517e-04, Train l2: 0.1146, Vali l2: 0.1200
Epoch: 49, time: 1.758, Train Loss: 6.448e-04,Vali Loss: 5.686e-04, Train l2: 0.1169, Vali l2: 0.1115
Epoch: 50, time: 1.751, Train Loss: 6.143e-04,Vali Loss: 6.055e-04, Train l2: 0.1165, Vali l2: 0.1186
Epoch: 51, time: 1.753, Train Loss: 5.976e-04,Vali Loss: 5.930e-04, Train l2: 0.1122, Vali l2: 0.1130
Epoch: 52, time: 1.751, Train Loss: 6.245e-04,Vali Loss: 8.702e-04, Train l2: 0.1141, Vali l2: 0.1298
Epoch: 53, time: 1.751, Train Loss: 5.289e-04,Vali Loss: 5.341e-04, Train l2: 0.1075, Vali l2: 0.1084
Epoch: 54, time: 1.751, Train Loss: 6.765e-04,Vali Loss: 7.344e-04, Train l2: 0.1196, Vali l2: 0.1235
Epoch: 55, time: 1.751, Train Loss: 5.363e-04,Vali Loss: 4.355e-04, Train l2: 0.1069, Vali l2: 0.0936
Epoch: 56, time: 1.753, Train Loss: 4.518e-04,Vali Loss: 3.851e-04, Train l2: 0.0978, Vali l2: 0.0900
Epoch: 57, time: 1.751, Train Loss: 5.875e-04,Vali Loss: 7.967e-04, Train l2: 0.1119, Vali l2: 0.1237
Epoch: 58, time: 1.751, Train Loss: 5.477e-04,Vali Loss: 5.412e-04, Train l2: 0.1078, Vali l2: 0.1134
Epoch: 59, time: 1.751, Train Loss: 5.405e-04,Vali Loss: 4.311e-04, Train l2: 0.1094, Vali l2: 0.0954
Epoch: 60, time: 1.751, Train Loss: 5.292e-04,Vali Loss: 7.385e-04, Train l2: 0.1044, Vali l2: 0.1261
Epoch: 61, time: 1.751, Train Loss: 6.222e-04,Vali Loss: 5.742e-04, Train l2: 0.1169, Vali l2: 0.1128
Epoch: 62, time: 1.751, Train Loss: 5.409e-04,Vali Loss: 7.660e-04, Train l2: 0.1070, Vali l2: 0.1429
Epoch: 63, time: 1.750, Train Loss: 7.174e-04,Vali Loss: 4.502e-04, Train l2: 0.1262, Vali l2: 0.0958
Epoch: 64, time: 1.751, Train Loss: 5.726e-04,Vali Loss: 6.756e-04, Train l2: 0.1125, Vali l2: 0.1246
Epoch: 65, time: 1.751, Train Loss: 6.982e-04,Vali Loss: 6.025e-04, Train l2: 0.1204, Vali l2: 0.1028
Epoch: 66, time: 1.750, Train Loss: 4.743e-04,Vali Loss: 5.405e-04, Train l2: 0.1008, Vali l2: 0.1074
Epoch: 67, time: 1.750, Train Loss: 5.758e-04,Vali Loss: 4.947e-04, Train l2: 0.1142, Vali l2: 0.1006
Epoch: 68, time: 1.750, Train Loss: 5.487e-04,Vali Loss: 7.646e-04, Train l2: 0.1084, Vali l2: 0.1379
Epoch: 69, time: 1.750, Train Loss: 6.330e-04,Vali Loss: 5.432e-04, Train l2: 0.1135, Vali l2: 0.1113
Epoch: 70, time: 1.752, Train Loss: 4.951e-04,Vali Loss: 7.160e-04, Train l2: 0.1036, Vali l2: 0.1243
Epoch: 71, time: 1.751, Train Loss: 6.659e-04,Vali Loss: 5.188e-04, Train l2: 0.1204, Vali l2: 0.1025
Epoch: 72, time: 1.750, Train Loss: 4.508e-04,Vali Loss: 4.287e-04, Train l2: 0.0986, Vali l2: 0.0941
Epoch: 73, time: 1.750, Train Loss: 6.317e-04,Vali Loss: 7.777e-04, Train l2: 0.1153, Vali l2: 0.1335
Epoch: 74, time: 1.750, Train Loss: 6.297e-04,Vali Loss: 5.201e-04, Train l2: 0.1173, Vali l2: 0.1011
Epoch: 75, time: 1.751, Train Loss: 5.362e-04,Vali Loss: 7.028e-04, Train l2: 0.1081, Vali l2: 0.1179
