Epoch,Time,Train MSE,Train l2,Validation l2,Cumulative Time
0,44.459615825966466,,0.16859009089767932,0.09958600997924805,44.459615825966466
1,44.29574433603557,,0.09125838790535927,0.06933226823806762,88.75536016200203
2,43.79724346799776,,0.07096664605438709,0.07037178993225097,132.5526036299998
3,43.150674997013994,,0.06268189649432898,0.04652343273162842,175.7032786270138
4,44.10196767596062,,0.0629096929937601,0.05970095634460449,219.8052463029744
5,41.25913918501465,,0.05528571540862322,0.039559472799301144,261.06438548798906
6,42.118012150982395,,0.057946122720837594,0.049004051685333255,303.18239763897145
7,41.19805303198518,,0.0508528885230422,0.05072821617126465,344.38045067095663
8,41.3953695880482,,0.054083615286648276,0.057924866676330566,385.77582025900483
9,40.76518346299417,,0.05129317001849413,0.03697038173675537,426.541003721999
10,39.81456943403464,,0.048090504367649556,0.03449158668518067,466.35557315603364
11,39.76755383401178,,0.052028569585084915,0.07343217372894287,506.1231269900454
12,42.123287239985075,,0.04494721636921167,0.04618677139282226,548.2464142300305
13,42.417311874974985,,0.04418504484593868,0.04348643541336059,590.6637261050055
14,41.29946839995682,,0.04583175662010908,0.039342019557952884,631.9631945049623
15,41.51445104001323,,0.04327453185617924,0.03916871786117554,673.4776455449755
16,41.307066667010076,,0.042067747853696345,0.1468944025039673,714.7847122119856
17,41.14113406598335,,0.04308182245641947,0.034233037233352664,755.925846277969
18,42.11864539398812,,0.041913323962688445,0.057252738475799564,798.0444916719571
19,42.967269148968626,,0.04111515611410141,0.036979305744171145,841.0117608209257
20,41.64477572700707,,0.039383771839737895,0.03439217686653137,882.6565365479328
21,41.16675565595506,,0.040159659940004346,0.04378701210021973,923.8232922038878
22,41.23565027897712,,0.03884836136251688,0.040454361438751224,965.058942482865
23,41.1629355539917,,0.038645065431296824,0.02920842409133911,1006.2218780368567
24,41.40090729901567,,0.037823711186647416,0.03189357876777649,1047.6227853358723
25,40.90274693403626,,0.03637067205607891,0.044843332767486574,1088.5255322699086
26,40.765341437014285,,0.0393697198048234,0.03173396587371826,1129.2908737069229
27,41.97819554700982,,0.03285021568983793,0.04380475521087646,1171.2690692539327
28,40.30537469900446,,0.03610433046221733,0.03197400569915772,1211.5744439529371
29,41.0511491659563,,0.03345082989633083,0.044065723419189455,1252.6255931188934
30,40.35392372100614,,0.03666433586776256,0.03810823678970337,1292.9795168398996
31,40.9382217139937,,0.03619634487330914,0.03167889356613159,1333.9177385538933
32,40.60827586299274,,0.03282405172586441,0.03985653281211853,1374.526014416886
33,42.10064382501878,,0.03412753120213747,0.031275062561035155,1416.6266582419048
34,42.738330191001296,,0.03204836720377207,0.03433423280715942,1459.364988432906
35,42.20336060697446,,0.03118607766777277,0.030331379175186156,1501.5683490398806
36,41.40900722198421,,0.031136643466353416,0.035287818908691405,1542.9773562618648
37,42.26414644700708,,0.032622673051059245,0.043427731990814206,1585.2415027088718
38,42.41221369296545,,0.029807051372528075,0.03416733384132385,1627.6537164018373
39,40.18357645504875,,0.03062153467833996,0.02875914216041565,1667.837292856886
40,40.5559644579771,,0.029564727189391852,0.02637570142745972,1708.3932573148631
41,40.93899530201452,,0.02809190113171935,0.03343586087226868,1749.3322526168777
42,41.14617539104074,,0.02695740388855338,0.03255139946937561,1790.4784280079184
43,41.360651911003515,,0.027383353621512653,0.037440569400787355,1831.839079918922
44,41.9032986619859,,0.027848767791688444,0.031743407249450684,1873.7423785809078
45,41.79217808897374,,0.02712198665961623,0.026408839225769042,1915.5345566698816
46,41.607094197999686,,0.026818706814944745,0.030295413732528687,1957.1416508678813
47,41.024320191994775,,0.026459075728803873,0.04528737306594849,1998.165971059876
48,41.57283732300857,,0.02446663879454136,0.025024927854537964,2039.7388083828846
49,42.56572408397915,,0.025605946438759564,0.02685416579246521,2082.3045324668637
50,41.01141725399066,,0.023836308869719505,0.024612596035003664,2123.3159497208544
51,41.54371803998947,,0.025410384649038314,0.02360212564468384,2164.859667760844
52,40.04590327304322,,0.023902482818067075,0.02305731415748596,2204.905571033887
53,39.91742689302191,,0.022787823215872048,0.022478392124176027,2244.822997926909
54,41.772583757992834,,0.022355291910469532,0.02769055962562561,2286.595581684902
55,43.22386310895672,,0.022933368416130542,0.022871984243392943,2329.8194447938586
56,41.77457227901323,,0.02169039740115404,0.026472961902618407,2371.594017072872
57,41.66187658300623,,0.021525398034602402,0.023267159461975096,2413.255893655878
58,40.670827619032934,,0.020988858234882356,0.024505568742752074,2453.926721274911
59,40.07979091099696,,0.020580182000249626,0.021044214963912965,2494.006512185908
60,41.030722823983524,,0.01996976349502802,0.020682029128074646,2535.0372350098914
61,39.77037983899936,,0.020025146443396806,0.022635467052459717,2574.807614848891
62,39.25011667999206,,0.019448383586853742,0.01930739641189575,2614.057731528883
